127.0.0.1 - - [02/Aug/2025:11:16:58 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/ HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_02.jpg HTTP/1.1" 200 11607
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_05.jpg HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/templatemo_style.css HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_04.jpg HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_03.jpg HTTP/1.1" 200 13240
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_01.jpg HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_image_06.jpg HTTP/1.1" 200 15792
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_main_bg.jpg HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_header.jpg HTTP/1.1" 200 17844
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/logo.png HTTP/1.1" 200 34652
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_menu_bg.jpg HTTP/1.1" 200 5734
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_menu_hover_left.jpg HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_menu_hover_right.jpg HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_content_top.jpg HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_content_bg_middle.jpg HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_content_bg_bottom.jpg HTTP/1.1" 200 7358
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_content_bg_top.jpg HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /Food_Plaza/images/templatemo_header_bg.jpg HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:00 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:14 +0530] "GET /Food_Plaza/registration.jsp HTTP/1.1" 200 5078
0:0:0:0:0:0:0:1 - - [02/Aug/2025:11:17:32 +0530] "POST /Food_Plaza/customer HTTP/1.1" 404 775
