127.0.0.1 - - [22/Sep/2025:14:42:27 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/ HTTP/1.1" 200 4980
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_image_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_main_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_menu_hover_left.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_menu_hover_right.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_content_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_content_bg_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_content_bg_middle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_content_bg_bottom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /Food_Plaza/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:31 +0530] "GET /Food_Plaza/login.jsp HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:42 +0530] "POST /Food_Plaza/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:42 +0530] "GET /Food_Plaza/index.jsp HTTP/1.1" 200 4956
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:45 +0530] "GET /Food_Plaza/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:45 +0530] "GET /Food_Plaza/failed.jsp HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:49 +0530] "GET /Food_Plaza/food HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:49 +0530] "GET /Food_Plaza/foodlist.jsp HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:52 +0530] "GET /Food_Plaza/addtocart.jsp?f_id=3 HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:58 +0530] "POST /Food_Plaza/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:58 +0530] "GET /Food_Plaza/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:42:58 +0530] "GET /Food_Plaza/cartlist.jsp HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:43:01 +0530] "POST /Food_Plaza/placeorder HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:43:07 +0530] "GET /Food_Plaza/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:14:43:07 +0530] "GET /Food_Plaza/index.jsp HTTP/1.1" 200 4980
